respondent_id,timestamp,j_position,j_abbr,j_full_name,d20_n_papers,d20_n_first_author,d20_year_first,d20_total_citations,d20_avg_cit,d20_avg_age_of_papers
290,2023-12-25T22:47:42Z,1,ps,Population Studies,4,3,2017,38,9.5,3.5
290,2023-12-25T22:47:42Z,2,psp,"Population, Space and Place",4,3,2017,38,9.5,3.5
290,2023-12-25T22:47:42Z,3,dr,Demographic Research,4,3,2017,38,9.5,3.5
290,2023-12-25T22:47:42Z,4,ejp,European Journal of Population,4,3,2017,38,9.5,3.5
290,2023-12-25T22:47:42Z,5,d,Demography,4,3,2017,38,9.5,3.5
290,2023-12-25T22:47:42Z,6,pdr,Population and Development Review,4,3,2017,38,9.5,3.5
290,2023-12-25T22:47:42Z,7,g,Genus,4,3,2017,38,9.5,3.5
187,2023-12-28T00:42:58Z,1,d,Demography,NA,NA,NA,NA,NA,NA
187,2023-12-28T00:42:58Z,2,pdr,Population and Development Review,NA,NA,NA,NA,NA,NA
187,2023-12-28T00:42:58Z,3,ps,Population Studies,NA,NA,NA,NA,NA,NA
187,2023-12-28T00:42:58Z,4,dr,Demographic Research,NA,NA,NA,NA,NA,NA
187,2023-12-28T00:42:58Z,5,g,Genus,NA,NA,NA,NA,NA,NA
187,2023-12-28T00:42:58Z,6,ejp,European Journal of Population,NA,NA,NA,NA,NA,NA
187,2023-12-28T00:42:58Z,7,p,Population,NA,NA,NA,NA,NA,NA
180,2023-12-28T09:43:18Z,1,d,Demography,2,1,2015,44,22,5.5
180,2023-12-28T09:43:18Z,2,dr,Demographic Research,2,1,2015,44,22,5.5
180,2023-12-28T09:43:18Z,3,pdr,Population and Development Review,2,1,2015,44,22,5.5
180,2023-12-28T09:43:18Z,4,alcr,Advances in Life Course Research,2,1,2015,44,22,5.5
180,2023-12-28T09:43:18Z,5,psp,"Population, Space and Place",2,1,2015,44,22,5.5
180,2023-12-28T09:43:18Z,6,jmf,Journal of Marriage and Family,2,1,2015,44,22,5.5
180,2023-12-28T09:43:18Z,7,jpe,Journal of Population Economics,2,1,2015,44,22,5.5
131,2023-12-28T09:46:11Z,1,pdr,Population and Development Review,5,3,2015,28,5.6,5.6
131,2023-12-28T09:46:11Z,2,d,Demography,5,3,2015,28,5.6,5.6
